Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_5
2025-07-14 00:00:00+05:30,1492.199951171875,1500.0,1479.0999755859375,1483.699951171875,10311846,0.0,0.0,
2025-07-15 00:00:00+05:30,1486.199951171875,1496.5,1482.4000244140625,1485.4000244140625,8132454,0.0,0.0,
2025-07-16 00:00:00+05:30,1473.0,1491.0,1471.5,1485.5999755859375,10409983,0.0,0.0,
2025-07-17 00:00:00+05:30,1487.4000244140625,1489.5999755859375,1473.9000244140625,1476.4000244140625,11854613,0.0,0.0,
2025-07-18 00:00:00+05:30,1484.800048828125,1484.800048828125,1469.0999755859375,1476.0,10296318,0.0,0.0,1481.4199951171875
2025-07-21 00:00:00+05:30,1465.0,1476.0,1423.0999755859375,1428.5999755859375,22442744,0.0,0.0,1470.4
2025-07-22 00:00:00+05:30,1427.4000244140625,1431.9000244140625,1410.699951171875,1412.800048828125,20396320,0.0,0.0,1455.8800048828125
2025-07-23 00:00:00+05:30,1426.0,1426.0,1414.4000244140625,1424.5999755859375,8354596,0.0,0.0,1443.6800048828125
2025-07-24 00:00:00+05:30,1419.199951171875,1423.0,1396.0,1402.9000244140625,14740507,0.0,0.0,1428.9800048828124
2025-07-25 00:00:00+05:30,1398.9000244140625,1401.0,1384.0999755859375,1391.699951171875,11854722,0.0,0.0,1412.1199951171875
2025-07-28 00:00:00+05:30,1392.300048828125,1407.800048828125,1385.0,1387.5999755859375,7748361,0.0,0.0,1403.9199951171875
2025-07-29 00:00:00+05:30,1383.0,1420.199951171875,1383.0,1417.0999755859375,10750072,0.0,0.0,1404.77998046875
2025-07-30 00:00:00+05:30,1418.0999755859375,1423.300048828125,1401.300048828125,1410.0999755859375,7209849,0.0,0.0,1401.87998046875
2025-07-31 00:00:00+05:30,1388.0999755859375,1402.5999755859375,1382.199951171875,1390.199951171875,17065827,0.0,0.0,1399.3399658203125
2025-08-01 00:00:00+05:30,1386.9000244140625,1405.9000244140625,1384.300048828125,1393.699951171875,10321171,0.0,0.0,1399.7399658203126
2025-08-04 00:00:00+05:30,1395.0999755859375,1416.0999755859375,1391.699951171875,1411.5,6312820,0.0,0.0,1404.519970703125
2025-08-05 00:00:00+05:30,1411.0,1411.0,1388.0999755859375,1391.699951171875,9315972,0.0,0.0,1399.4399658203124
2025-08-06 00:00:00+05:30,1391.9000244140625,1395.9000244140625,1383.300048828125,1392.800048828125,5834312,0.0,0.0,1395.97998046875
2025-08-07 00:00:00+05:30,1387.699951171875,1393.699951171875,1366.0,1389.4000244140625,9976705,0.0,0.0,1395.8199951171875
2025-08-08 00:00:00+05:30,1385.0,1397.199951171875,1365.0,1367.800048828125,8793606,0.0,0.0,1390.6400146484375
2025-08-11 00:00:00+05:30,1370.0,1388.0,1361.199951171875,1386.199951171875,9997486,0.0,0.0,1385.5800048828125
2025-08-12 00:00:00+05:30,1381.9000244140625,1401.9000244140625,1375.199951171875,1380.4000244140625,12243715,0.0,0.0,1383.32001953125
