Time,Signal
2025-08-12 22:24:17.914324,📉 SELL Signal for RELIANCE.NS at ₹1380.40 (2025-08-12 22:24:16.769970)
2025-08-13 10:53:11.343193,📈 BUY Signal for RELIANCE.NS at ₹1384.30 (2025-08-13 10:53:10.330584)
